ID_Pedido,Data_Venda,Categoria,Preco_Unitario,Quantidade,Idade_Cliente
1,2023-12-21 00:00:00,Roupas,,9.0,52.0
2,2023-03-06 00:00:00,Beleza,159.17095149537838,6.0,60.0
3,2023-05-29 00:00:00,Beleza,97.56851425999506,5.0,24.0
4,2023-08-21 00:00:00,Casa,200.69318993603952,3.0,62.0
5,2023-04-23 00:00:00,Casa,166.64299089108152,2.0,35.0
6,2023-03-26 00:00:00,Alimentos,102.66458180521107,2.0,62.0
7,2023-09-03 00:00:00,Roupas,155.74348385172877,1.0,64.0
8,2023-03-21 00:00:00,Beleza,103.18368589256775,4.0,69.0
9,2023-05-25 00:00:00,Eletrônicos,202.1897148569202,8.0,20.0
10,2023-01-31 00:00:00,Eletrônicos,172.53138987056187,7.0,30.0
11,2023-11-21 00:00:00,Alimentos,140.7661830885014,2.0,29.0
12,2023-08-14 00:00:00,Alimentos,123.73563632466163,4.0,33.0
13,2023-02-26 00:00:00,Eletrônico ,190.33267028285303,6.0,74.0
14,2023-12-13 00:00:00,Beleza,223.78404286092245,8.0,57.0
15,2023-10-15 00:00:00,Alimentos,179.63125362558438,1.0,71.0
16,2023-05-20 00:00:00,Eletrônicos,158.34166751681593,1.0,51.0
17,2023-01-20 00:00:00,Casa,157.93159349971717,2.0,54.0
18,2023-10-19 00:00:00,Alimentos,141.31156905654353,7.0,50.0
19,2023-02-28 00:00:00,Alimentos,220.6092919042245,9.0,66.0
20,2023-04-08 00:00:00,Eletrônicos,149.21077276707342,5.0,18.0
21,2023-06-01 00:00:00,Alimentos,176.0361207885638,1.0,37.0
22,2023-10-25 00:00:00,Roupas,74.33111775379746,9.0,54.0
23,2023-08-11 00:00:00,Eletrônicos,124.81904590799927,7.0,41.0
24,2023-08-29 00:00:00,Roupas,226.56294711747455,6.0,60.0
25,2023-07-06 00:00:00,Casa,194.52662611354242,6.0,48.0
26,2023-09-07 00:00:00,Roupas,82.09496795074487,6.0,30.0
27,2023-02-24 00:00:00,Beleza,51.92884224339022,3.0,57.0
28,2023-12-14 00:00:00,Alimentos,147.5972924489623,7.0,71.0
29,2023-06-10 00:00:00,Casa,195.33484736414607,9.0,19.0
30,2023-02-02 00:00:00,Roupas,223.03834585576232,9.0,68.0
31,2023-06-17 00:00:00,Beleza,244.3950607404342,7.0,63.0
32,2023-04-20 00:00:00,Casa,184.1881591255045,9.0,27.0
33,2023-08-16 00:00:00,Casa,163.37205946638696,,26.0
34,2023-07-20 00:00:00,Casa,209.59998901632008,4.0,53.0
35,2023-10-25 00:00:00,Eletrônicos,175.11880182676447,3.0,
36,2023-07-08 00:00:00,Alimentos,73.34088013286375,3.0,23.0
37,2023-01-15 00:00:00,Casa,205.45579113207177,7.0,36.0
38,2023-09-11 00:00:00,Beleza,81.45892535978867,8.0,33.0
39,2023-08-27 00:00:00,Casa,214.53884107209353,6.0,68.0
40,2023-04-20 00:00:00,Casa,178.44417995888415,8.0,24.0
41,2023-01-29 00:00:00,Alimentos,113.95439272013982,3.0,38.0
42,2023-04-06 00:00:00,Casa,205.5775844400536,7.0,35.0
43,2023-07-16 00:00:00,Casa,191.446952257602,3.0,
44,2023-08-13 00:00:00,Roupas,194.5004596976641,3.0,73.0
45,2023-04-23 00:00:00,Eletrônicos,108.38751421290846,1.0,50.0
46,2023-07-08 00:00:00,Beleza,,1.0,44.0
47,2023-01-07 00:00:00,Beleza,11.875971866208715,7.0,21.0
48,2023-09-13 00:00:00,Beleza,155.4450794026142,7.0,33.0
49,2023-11-13 00:00:00,Casa,209.43926465728998,4.0,72.0
50,2023-08-22 00:00:00,Casa,112.37324897150107,9.0,59.0
51,2023-01-01 00:00:00,ROUPAS,44.63856299308098,2.0,51.0
52,2023-09-21 00:00:00,Alimentos,156.80065152653043,4.0,61.0
53,2023-11-27 00:00:00,Alimentos,,5.0,35.0
54,2023-02-16 00:00:00,Beleza,102.49337768266435,6.0,40.0
55,2023-07-31 00:00:00,Beleza,150.06700560639558,2.0,63.0
56,2023-01-18 00:00:00,Beleza,202.3144441855774,4.0,20.0
57,2023-12-19 00:00:00,Alimentos,119.70205552369026,4.0,62.0
58,2023-12-22 00:00:00,Casa,71.2208947533425,,52.0
59,2023-05-29 00:00:00,Eletrônicos,156.00061496186152,6.0,24.0
60,2023-01-30 00:00:00,Casa,185.4700907986312,9.0,74.0
61,2023-03-14 00:00:00,Roupas,116.2101040766118,3.0,72.0
62,2023-12-05 00:00:00,Eletrônicos,86.11541534707361,1.0,68.0
63,2023-06-08 00:00:00,Casa,135.42395202068315,1.0,24.0
64,2023-11-19 00:00:00,Roupas,98.83623280938951,2.0,24.0
65,2023-07-01 00:00:00,Casa,144.88935340020248,3.0,49.0
66,2023-05-10 00:00:00,Alimentos,142.092283741883,9.0,53.0
67,2023-02-06 00:00:00,Eletrônicos,,8.0,43.0
68,2023-05-31 00:00:00,Alimentos,194.7644333619999,7.0,28.0
69,2023-12-30 00:00:00,Eletrônicos,52.909892927795966,9.0,30.0
70,2023-10-17 00:00:00,Alimentos,135.37076126477805,5.0,40.0
71,2023-03-20 00:00:00,roupa,179.09135694802546,7.0,58.0
72,2023-01-04 00:00:00,Eletrônicos,189.73598122968423,9.0,54.0
73,2023-10-10 00:00:00,Beleza,169.09237186084988,6.0,50.0
74,2023-05-05 00:00:00,Eletrônicos,"R$ 124,63",7.0,
75,2023-06-03 00:00:00,Eletrônicos,210.76333018954927,7.0,67.0
76,2023-04-25 00:00:00,Alimentos,129.35993122903972,7.0,71.0
77,2023-09-27 00:00:00,Alimentos,134.2224191766262,4.0,28.0
78,2023-06-26 00:00:00,Beleza,113.8386520600329,7.0,74.0
79,2023-06-19 00:00:00,Roupas,134.74371167486953,3.0,59.0
80,2023-06-24 00:00:00,Casa,179.42229388945032,5.0,57.0
81,2023-10-25 00:00:00,ROUPAS,160.4500865329343,7.0,72.0
82,2023-05-20 00:00:00,Alimentos,142.6274212343074,3.0,69.0
83,2023-10-11 00:00:00,Eletrônicos,107.38935850968912,3.0,48.0
84,2023-05-10 00:00:00,Casa,,7.0,22.0
85,2023-11-20 00:00:00,Casa,193.25615258980076,4.0,40.0
86,2023-05-23 00:00:00,Roupas,125.22446741372738,4.0,23.0
87,2023-11-13 00:00:00,Alimentos,184.21360125749644,3.0,21.0
88,2023-03-18 00:00:00,Beleza,190.088239145535,8.0,31.0
89,2023-02-11 00:00:00,csa,205.68382347080438,2.0,23.0
90,2023-05-29 00:00:00,Beleza,,9.0,24.0
91,2023-04-07 00:00:00,Alimentos,141.94702123426603,6.0,51.0
92,2023-04-01 00:00:00,Eletrônicos,116.61442689960391,6.0,30.0
93,2023-05-24 00:00:00,ROUPAS,,,51.0
94,2023-01-31 00:00:00,Alimentos,212.19136680539268,8.0,63.0
95,2023-02-12 00:00:00,Roupas,172.73106717759256,1.0,45.0
96,2023-07-08 00:00:00,Beleza,184.71108860079346,5.0,44.0
97,2023-04-29 00:00:00,Beleza,"R$ 197,92",6.0,55.0
98,2023-08-28 00:00:00,Eletrônicos,227.81365922830975,1.0,51.0
99,2023-09-11 00:00:00,Beleza,161.5275487000555,2.0,64.0
100,2023-09-25 00:00:00,Eletrônicos,,9.0,50.0
101,2023-05-08 00:00:00,Roupas,171.1883117077077,4.0,52.0
102,2023-10-12 00:00:00,Beleza,206.12424588814218,7.0,
103,2023-12-27 00:00:00,Eletrônicos,170.64831650279464,2.0,48.0
104,2023-11-30 00:00:00,Casa,,3.0,46.0
105,2023-12-29 00:00:00,Casa,85.0157328814428,1.0,25.0
106,2023-07-05 00:00:00,Roupas,137.4500412923,9.0,46.0
107,2023-08-03 00:00:00,Eletrônicos,165.76396136484624,7.0,42.0
108,2023-09-16 00:00:00,Eletrônicos,177.9296474048912,1.0,35.0
109,2023-07-30 00:00:00,Eletrônicos,180.7794623016595,8.0,49.0
110,2023-02-28 00:00:00,Casa,125.45453145833228,4.0,27.0
111,2023-01-20 00:00:00,Beleza,208.95836556012097,9.0,54.0
112,2023-05-03 00:00:00,Eletrônicos,146.71355555746737,2.0,36.0
113,2023-08-23 00:00:00,Roupas,90.90424328360092,2.0,31.0
114,2023-05-07 00:00:00,Beleza,166.1320694229838,9.0,71.0
115,2023-07-29 00:00:00,Alimentos,177.735487022385,5.0,41.0
116,2023-09-14 00:00:00,Alimentos,130.96325777747558,2.0,68.0
117,2023-05-30 00:00:00,Roupas,224.06724538469217,6.0,24.0
118,2023-11-15 00:00:00,eletronico,188.62276415423952,6.0,56.0
119,2023-01-14 00:00:00,Beleza,115.99319930930412,8.0,25.0
120,2023-01-27 00:00:00,Roupas,166.14717024282592,4.0,24.0
